effectsizeID;studyID;y;v;Author;Intervention_Type;Year;RoB;y0;Comment_y0;Direction_category;Diretion_describe;Instrument;Instrument_cat;Instrument_dik;Instrument_dik_string;Mean_age;Lowest_age;Highest_age;Ungdom13;No_sessions;Gender;Design;Intervent;CntrlVSIntv;AcceptMindfulness;InterventRandomizedN;InterventPreN;InterventPostN;InterventFlwUpN;Control;ControlRandomizedN;ControlPreN;ControlPostN;ControlFlwUpN;ITT;Domain;Informant;InformantOther;InterventPreM;InterventPreSD;ControlPreM;ControlPreSD;InterventPostM;InterventPostSD;ControlPostM;ControlPostSD;InterventFlwUpM;InterventFlwUpSD;ControlFlwUpM;ControlFlwUpSD;InterventEndringSD;ControlEndringSD;FlwUpTime;EStype;EStypeOther;Effect_endring_;Effect_endring_innad_Intervensjon;Effect_endring_innad_Control;Effect_post_adj_baseline;Effect_post_crude;stat_sig_05;ESlowCI;EShighCI;PTSD;DiagSpec;TreatEl;Accept;AffWorkMemTrain;AltActEmAvoid;AskNeed;AwareEmPhy;BehavActiv;duplicate;ChallNegAssump;CoachSkillVal;CognDis;CognFlex;CommSkillTrain;ComplMood;Dilemma;CopeStressBehav;Depress;SoluNotHurt;DiscDilemm;DiscSelfC;DiscChall;DistAlarm;Distract;Downreg;EmDysreg;EmMan;EncourTeachEm;EnhancEmRecogn;EstabCop;EstabRout;EvalConc;ExplorTemp;ExplorThought;ExposEm;FocusEat;FocusSleep;FocusMind;FollowRules;FuncAdapt;FysRelax;Restruct;IdentFeel;InterrAlarm;AvoidSelfHarm;BehavMod;PersFin;AssessGoal;AssistReg;DevelAct;Lifestyle;BalanceSchoolRecr;KeepFriend;MentHealthSkill;Mindful;MindfExerc;NormExp;OrgSkill;SkillTrain;PhysExerc;PractAwar;ProblSolvU;PsychEd;RecognOthFeel;RecognTrigg;RestructRat;SayNo;SelfEstW;SelfExplorMon;SelfMon;SelfShooth;SetGoal;SlowBreath;SocSkillTrain;SocSuppPR;StratManStrong;Stress;StressInoc;TakDist;TeachAlarmAdapt;TeachRecognTrigg;TeachCognFlex;TeachFamSupp;TrainThought;TrainBehavReg;TrainCognSkill;TrainEmRecogn;TrainPrevMal;UndDevTemp;Unspec;UpregPos;ValTrain;OLifestyle;OMindful;OOrgSkills;OParSkillsTr;OParSuppGr;OProblSolvSk;OPsyched;OSelfExMon;OSocSkillsTr;OStressMan;OTrBehavReg;OTrCognFlex;OTrEmRecDiff;OTrPrevMal;OTrALRM;studieTrim;Other_measure;Measure_short_post;Measure_mid_post;Indicated;sub_anxiety_depr;Behavior_problems;Identified;OCD;elementPTSD;Suicidal;Bipolar;BorderlinePD;Ext_problems;ODD;ADHD;Anxiety;Depression;D_clinicians;D_psychologists;D_PhD;D_para;D_professional;D_doc_student;D_computer;D_audio;Psychoeducation;Individual_therapy;Family_therapy;Family_skills;Telephone_coaching;Group_interaction;Instruction_1on1;Multifamily;Child_parent;Work_shop;Role_play_child;Invivo_coaching;Unstructured_pay;Homework;Homework_reviewed;Parental_obs;Peer_feedback_child;Observing_peers;Reward_based;Important_others;Watch_video;I_normal;I_intensive;Sessions_1;Sessions_2;Sessions_3;Sessions_4;Duration_individual;Duration_short;Duration_long;Home;Hospital;School;Service_agency;Residential_facilities;Info_material;Edu_material;Org_material;Diary;Web_based_app;Media_clipps;Computer_prog;Arts_activity;Videobased;Vignette_discussion;Bug_in_ear;Presentation;Feeling_board;Feeling_dictionary;Element_repeat;Feedback_performance;Peer_qritique;Self_monitoring;Ext_monitoring;Regulary_support;Practitioner_influence;Culturally_sensitive;Multicomponent;Flexible;Individualized;Imp_Reminders;Imp_Acess_web;Imp_aduit_feedback;Imp_fidelity_ext;Imp_fidelity_local;Imp_strucutred_manual;Emoreg_effectsize;Intern_effectsize;Ext_effectsize;Time_first_PM_months;Time_last_FU_months;ControlGroup;Emoreg_sig;Intern_sig;Ext_sig
16;8;1,261696518;0,248130286;Ettelson;1;2002;1;1,261696518; ;1;Higher scores mean stronger expectancies for regulating negative moods;NMR The Negative Mood Regulation Scale;12;1;yes; ; ; ;2;2;Both boys and girls;1;Cognitive-behavioral therapy group treatment;1;0;13;8;8;8;Waitlist control;12;12;12;12;2;1;2; ;79,38;17,37;84,92;16;99,37;16,83;78,92;15,8;98,38;19,65; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ;no;yes;no;no;no;no;no;no;no; ;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;yes;no;yes;yes;yes;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;yes;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;yes;yes;yes;yes;no;yes;yes;yes;no;no;5;Present;Present;Present;Present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;.;.;.;0;3;Waitinglist Control;Significant;its complicated - more than one measure of emoreg;.
17;8;0,606381075;0,217525784;Ettelson;1;2002;1;-0,606381075; ;2;Low scores are typically indicative of adaptive coping.;COPE- avoidant coping;2;2;no; ; ; ;2;2;Both boys and girls;1;Cognitive-behavioral therapy group treatment;1;0;13;8;8;8;Waitlist control;12;12;12;12;2;1;2; ;24,88;4,48;24,92;5,3;22;2,67;24,92;5,78;22,63;3,5; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ;no;yes;no;no;no;no;no;no;no; ;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;yes;no;yes;yes;yes;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;yes;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;yes;yes;yes;yes;no;yes;yes;yes;no;no;5;Present;Present;Present;Present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;.;.;.;0;3;Waitinglist Control;Significant;its complicated - more than one measure of emoreg;.
18;8;0,119999828;0,208693332;Ettelson;1;2002;1;-0,119999828; ;2;High or low scores are not uniformly associated with psychological health or ill health, but can be used to inform a wider formulation of the respondent’s coping styles.;COPE- EMOTION FOCUSED coping;1;1;yes; ; ; ;2;2;Both boys and girls;1;Cognitive-behavioral therapy group treatment;1;0;13;8;8;8;Waitlist control;12;12;12;12;2;1;2; ;29,46;13,01;29;9,02;30,83;6,17;32;11,46;33,92;9,08; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ;no;yes;no;no;no;no;no;no;no; ;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;yes;no;yes;yes;yes;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;yes;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;yes;yes;yes;yes;no;yes;yes;yes;no;no;5;Present;Present;Present;Present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;.;.;.;0;3;Waitinglist Control;Significant;its complicated - more than one measure of emoreg;.
19;8;0,471113049;0,213882021;Ettelson;1;2002;1;0,471113049; ;1;High scores are indicative of psychological strength, grit, a practical approach to problem solving and is predictive of positive outcomes.;COPE- problem focused coping;1;2;no; ; ; ;2;2;Both boys and girls;1;Cognitive-behavioral therapy group treatment;1;0;13;8;8;8;Waitlist control;12;12;12;12;2;1;2; ;63,57;10,34;58,33;13,1;63,71;12,36;57,58;13,41;68,63;11,24; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ;no;yes;no;no;no;no;no;no;no; ;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;yes;no;yes;yes;yes;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;yes;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;yes;yes;yes;yes;no;yes;yes;yes;no;no;5;Present;Present;Present;Present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;.;.;.;0;3;Waitinglist Control;Significant;its complicated - more than one measure of emoreg;.
20;9;0,067043957;0,088510396;Ford;4;2012;1;0,067043957; ;1;Higher scores mean stronger expectancies for regulating negative moods;NMR The Negative Mood Regulation Scale;12;1;yes;17,4;13;17;2; ;Girls only;1;TARGET;1;0; ;33;26; ;Enhanced treatment as usual ETAU; ;26;20; ;1;1;2; ;105,2;12;108,8;16;109,7;14;108,5;22; ; ; ; ; ; ; ;2; ; ;-0,35;0,02; ;-0,27; ; ; ;yes;no;no;no;no;no;no;no;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;yes;no;yes;6;Present;Present;Not present;Present;Not present;Present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;-0,27;.;.;0;0;Active Control;its complicated - more than one measure of emoreg;its complicated - more than one measure of emoreg;its complicated - more than one measure of emoreg
21;10;-0,173880431;0,211906753;Fung1;7;2016;1;-0,173880431; ;1;Høyere skåre = mer bruk av reappraisal = assosiert med positive utfall;ERQ-CA Emotion Regulation Questionnaire - reappraisal;5;1;yes;12,7;12;14;2;1;Both boys and girls;1;Based on learning to breathe;1;1;9;9;9;9;Waitlist control;10;10;10;8;1;1;2; ;2,3;1;1,64;0,59;1,76;0,94;1,93;1,01; ; ; ; ; ; ;3;4; ; ; ; ; ;1,06;2; ; ;no;no;no;no;no;no;no;yes;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;yes;no;no;no;no;yes;no;no;7;Present;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;.;.;.;0;3;Waitinglist Control;Not Significant;its complicated - more than one measure of emoreg;its complicated - more than one measure of emoreg
22;10;0,467306827;0,216857839;Fung1;7;2016;1;-0,467306827; ;2;Høyere skåre = mer bruk av suppression = assosiert med negative utfall;ERQ-CA Emotion Regulation Questionnaire- suppression;2;2;no;12,7;12;14;2;1;Both boys and girls;1;Based on learning to breathe;1;1;9;9;9;9;Waitlist control;10;10;10;8;1;1;2; ;1,81;0,6;1,81;0,72;1,28;0,97;1,68;0,74; ; ; ; ; ; ;3;4; ; ; ; ; ;0;2; ; ;no;no;no;no;no;no;no;yes;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;yes;no;no;no;no;yes;no;no;7;Present;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;.;.;.;0;3;Waitinglist Control;Not Significant;its complicated - more than one measure of emoreg;its complicated - more than one measure of emoreg
23;11;0,632290631;0,036373674;Fung2;7;2018;1;0,632290631; ;1;Høyere skåre = mer bruk av reappraisal = assosiert med positive utfall;ERQ-CA Emotion Regulation Questionnaire reappraisal;5;1;yes;13,99;13;15;2; ;Both boys and girls;1;Based on learning to breathe;1;1;79;79;70;68;Waitlist control;66;66;49;46;1;1;2; ;2,35;0,79;2,04;0,72;2,53;0,61;2,12;0,7; ; ; ; ; ; ;3;2; ; ; ; ; ;0,46;1; ; ;no;no;no;no;no;no;no;yes;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;8;Present;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;.;0,42;0,1;0;3;Waitinglist Control;its complicated - more than one measure of emoreg;Significant;Not Significant
24;11;0,131578947;0,034766621;Fung2;7;2018;1;-0,131578947; ;2;Høyere skåre = mer bruk av suppression = assosiert med negative utfall;ERQ-CA Emotion Regulation Questionnaire suppression;2;2;no;13,99;13;15;2; ;Both boys and girls;1;Based on learning to breathe;1;1;79;79;70;68;Waitlist control;66;66;49;46;1;1;2; ;2,34;0,79;2,24;0,8;2,07;0,76;2,17;0,76; ; ; ; ; ; ;3;2; ; ; ; ; ;0,23;2; ; ;no;no;no;no;no;no;no;yes;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;8;Present;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;.;0,42;0,1;0;3;Waitinglist Control;its complicated - more than one measure of emoreg;Significant;Not Significant
25;11;0,366049573;0,03525687;Fung2;7;2018;1;0,366049573; ;1;Høyere skåre = mer bruk av emotional precessing (emosjonell mestring), assosiert med positive utfall;Emotional approach coping- emotional processing;12;1;yes;13,99;13;15;2; ;Both boys and girls;1;Based on learning to breathe;1;1;79;79;70;68;Waitlist control;66;66;49;46;1;1;2; ;1,72;0,95;1,8;0,83;2,01;0,91;1,69;0,82; ; ; ; ; ; ;3;2; ; ; ; ; ;0,54;1; ; ;no;no;no;no;no;no;no;yes;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;8;Present;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;.;0,42;0,1;0;3;Waitinglist Control;its complicated - more than one measure of emoreg;Significant;Not Significant
26;11;0,245627997;0,034947378;Fung2;7;2018;1;0,245627997; ;1;Høyere skåre = mer bruk av emotional expression (emosjonell mestring) = assosiert med positive utfall;Emotional approach coping- emotional expression;12;1;yes;13,99;13;15;2; ;Both boys and girls;1;Based on learning to breathe;1;1;79;79;70;68;Waitlist control;66;66;49;46;1;1;2; ;1,35;0,99;1,44;0,89;1,78;1,03;1,53;1; ; ; ; ; ; ;3;2; ; ; ; ; ;0,43;1; ; ;no;no;no;no;no;no;no;yes;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;8;Present;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;.;0,42;0,1;0;3;Waitinglist Control;its complicated - more than one measure of emoreg;Significant;Not Significant
27;11;0,197301297;0,03485744;Fung2;7;2018;1;-0,197301297; ;2;Higher scores indicate a higher level of psychological inflexibility;Avoidance fusion- AFQ-Y82;2;2;no;13,99;13;15;2; ;Both boys and girls;1;Based on learning to breathe;1;1;79;79;70;68;Waitlist control;66;66;49;46;1;1;2; ;1,89;0,95;1,94;0,74;1,31;0,92;1,48;0,77; ; ; ; ; ; ;3;2; ; ; ; ; ;0,32;2; ; ;no;no;no;no;no;no;no;yes;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;8;Present;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;.;0,42;0,1;0;3;Waitinglist Control;its complicated - more than one measure of emoreg;Significant;Not Significant
28;11;0,615713852;0,03628675;Fung2;7;2018;1;-0,615713852; ;2;Higher mean scores imply a greater tendency for rumination;Rumination from children's response styles questionnaire;6;2;no;13,99;13;15;2; ;Both boys and girls;1;Based on learning to breathe;1;1;79;79;70;68;Waitlist control;66;66;49;46;1;1;2; ;26,35;11,55;28,98;11,47;21,11;10,65;27,68;10,7; ; ; ; ; ; ;3;2; ; ; ; ; ;0,6;1; ; ;no;no;no;no;no;no;no;yes;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;8;Present;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;.;0,42;0,1;0;3;Waitinglist Control;its complicated - more than one measure of emoreg;Significant;Not Significant
29;13;-0,186661987;0,084279029;Griffiths;8;2019;2;0,186661987; ;2;Higher scores reflect greater impairment or dysregulation;DERS (Difficulties in Emotion Regulation Scale) - NA nonacceptance;3;2;no;15,5;12;18;2; ;Both boys and girls;1;Mentalization based treatment for adolescents (MBT-Ai);1;0;26;22;22;22;TAU;27;26;26;26;1;1;2; ;23,59;5,24;21,42;5,06;21,32;5,5;20,23;6,11;21,95;5,56;21,38;7,94; ; ;24;4; ;0,773; ; ; ; ;2; ; ;no;no;no;no;no;no;no;no;no; ;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;ye;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;yes;no;32;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;.;.;.;0;6;Waitinglist Control;Not Significant;Not Significant;Not measured
